"","ind_code","ind_name","area_type","area_code","area_name","time_period","seb","age","sex","category_type","category","category_type2","category2","value","sample_size","lci","uci","se","unit","value_note"
"15","DR53","University research students","ITL2","K02000001","Derbyshire and Nottinghamshire","2014-2022","Total","25 to 29","Total","Quintile","2",NA,NA,9.6326575490552,1341,0.0805351804449225,0.112117970536181,0.00805683420695379,"Percentage",NA
"16","DR53","University research students","ITL2","K02000001","Devon","2014-2022","Total","25 to 29","Total","Quintile","3",NA,NA,10.3442102077342,744,0.0815590727386851,0.125325131415999,0.01116481088707,"Percentage",NA
"17","DR53","University research students","ITL2","K02000001","Dorset and Somerset","2014-2022","Total","25 to 29","Total","Quintile","3",NA,NA,10.4181152269885,895,0.0841664455914303,0.12419585894834,0.0102115850400281,"Percentage",NA
"18","DR53","University research students","ITL2","K02000001","East Anglia","2014-2022","Total","25 to 29","Total","Quintile","4",NA,NA,11.8766355632552,1919,0.104291613553017,0.133241097712087,0.00738507248955869,"Percentage",NA
"19","DR53","University research students","ITL2","K02000001","East Wales","2014-2022","Total","25 to 29","Total","Quintile","4",NA,NA,13.4006490579066,956,0.112411781351812,0.15560119980632,0.0110177087894152,"Percentage",NA
"20","DR53","University research students","ITL2","K02000001","East Yorkshire and Northern Lincolnshire","2014-2022","Total","25 to 29","Total","Quintile","1",NA,NA,6.61431976617132,383,0.0412523652301618,0.0910340300932645,0.0126994043018119,"Percentage",NA
"21","DR53","University research students","ITL2","K02000001","Eastern Scotland","2014-2022","Total","25 to 29","Total","Quintile","5",NA,NA,13.8712147888347,1653,0.122049230015815,0.155375065760879,0.00850148871047551,"Percentage",NA
"22","DR53","University research students","ITL2","K02000001","Essex","2014-2022","Total","25 to 29","Total","Quintile","1",NA,NA,8.48524454430206,795,0.0654815253159415,0.1042233655701,0.00988312251381587,"Percentage",NA
"23","DR53","University research students","ITL2","K02000001","Gloucestershire, Wiltshire and Bath/Bristol area","2014-2022","Total","25 to 29","Total","Quintile","4",NA,NA,13.0588985622021,1754,0.114819877898333,0.146358093345709,0.00804546312433083,"Percentage",NA
"24","DR53","University research students","ITL2","K02000001","Greater Manchester","2014-2022","Total","25 to 29","Total","Quintile","3",NA,NA,10.9702514881922,1787,0.0952124723494908,0.124192557414353,0.0073928788430772,"Percentage",NA
"25","DR53","University research students","ITL2","K02000001","Hampshire and Isle of Wight","2014-2022","Total","25 to 29","Total","Quintile","4",NA,NA,11.4023291612841,1299,0.0967386875666609,0.131307895659022,0.00881867553376548,"Percentage",NA
"26","DR53","University research students","ITL2","K02000001","Herefordshire, Worcestershire and Warwickshire","2014-2022","Total","25 to 29","Total","Quintile","3",NA,NA,11.2262726977119,1051,0.0931767351081505,0.131348718846088,0.0097377509535556,"Percentage",NA
"27","DR53","University research students","ITL2","K02000001","Highlands and Islands","2014-2022","Total","25 to 29","Total","Quintile","1",NA,NA,7.85559302538363,184,0.0396808644238377,0.117430996083835,0.0198342172602034,"Percentage",NA
"28","DR53","University research students","ITL2","K02000001","Inner London - East","2014-2022","Total","25 to 29","Total","Quintile","5",NA,NA,23.4760951221546,2376,0.217718017892227,0.251803884550866,0.00869537414761215,"Percentage",NA
"29","DR53","University research students","ITL2","K02000001","Inner London - West","2014-2022","Total","25 to 29","Total","Quintile","5",NA,NA,31.6143625520806,1345,0.291294014574632,0.34099323646698,0.0126783729317216,"Percentage",NA
"30","DR53","University research students","ITL2","K02000001","Kent","2014-2022","Total","25 to 29","Total","Quintile","2",NA,NA,9.82500835839235,936,0.0791810946547038,0.117319072513143,0.00972907598429575,"Percentage",NA
"31","DR53","University research students","ITL2","K02000001","Lancashire","2014-2022","Total","25 to 29","Total","Quintile","1",NA,NA,9.18242396457885,872,0.0726569170457746,0.110991562245802,0.00977924622449687,"Percentage",NA
"32","DR53","University research students","ITL2","K02000001","Leicestershire, Rutland and Northamptonshire","2014-2022","Total","25 to 29","Total","Quintile","1",NA,NA,9.30779600393008,1060,0.0755870846779888,0.110568835400613,0.00892391600066938,"Percentage",NA
"33","DR53","University research students","ITL2","K02000001","Lincolnshire","2014-2022","Total","25 to 29","Total","Quintile","1",NA,NA,6.62487886690902,311,0.0386060901728731,0.0938914871653072,0.0141034176001108,"Percentage",NA
"34","DR53","University research students","ITL2","K02000001","Merseyside","2014-2022","Total","25 to 29","Total","Quintile","3",NA,NA,9.97070510905288,775,0.0786129957807904,0.120801106400267,0.0107622731172135,"Percentage",NA
"35","DR53","University research students","ITL2","K02000001","North Eastern Scotland","2014-2022","Total","25 to 29","Total","Quintile","5",NA,NA,14.7020842584901,433,0.113665086719957,0.180376598449845,0.0170182427882367,"Percentage",NA
"36","DR53","University research students","ITL2","K02000001","North Yorkshire","2014-2022","Total","25 to 29","Total","Quintile","4",NA,NA,13.2401844824708,764,0.108368416850368,0.156435272799048,0.0122619530481327,"Percentage",NA
"37","DR53","University research students","ITL2","K02000001","Northern Ireland","2014-2022","Total","25 to 29","Total","Quintile","2",NA,NA,9.7023767946019,2359,0.085079230708095,0.108968305183943,0.00609415165200203,"Percentage",NA
"38","DR53","University research students","ITL2","K02000001","Northumberland, and Tyne and Wear","2014-2022","Total","25 to 29","Total","Quintile","3",NA,NA,10.1657322377243,899,0.0819027981372481,0.121411846617237,0.0100788388979564,"Percentage",NA
"39","DR53","University research students","ITL2","K02000001","Outer London - East and North East","2014-2022","Total","25 to 29","Total","Quintile","5",NA,NA,15.1414943717341,1374,0.132461210454604,0.170368676980078,0.00967027207282488,"Percentage",NA
"40","DR53","University research students","ITL2","K02000001","Outer London - South","2014-2022","Total","25 to 29","Total","Quintile","5",NA,NA,19.2684546962524,1334,0.171519305257767,0.21384978866728,0.0107985927065084,"Percentage",NA
"41","DR53","University research students","ITL2","K02000001","Outer London - West and North West","2014-2022","Total","25 to 29","Total","Quintile","5",NA,NA,19.9722427633234,1946,0.181959342610492,0.217485512655976,0.00906279848099092,"Percentage",NA
"42","DR53","University research students","ITL2","K02000001","Shropshire and Staffordshire","2014-2022","Total","25 to 29","Total","Quintile","1",NA,NA,8.9906163910084,874,0.0709418045888886,0.108870523231279,0.00967569353122214,"Percentage",NA
"43","DR53","University research students","ITL2","K02000001","South Yorkshire","2014-2022","Total","25 to 29","Total","Quintile","2",NA,NA,9.43903437529998,620,0.0713762152997765,0.117404472206223,0.0117419022720527,"Percentage",NA
"44","DR53","University research students","ITL2","K02000001","Southern Scotland","2014-2022","Total","25 to 29","Total","Quintile","1",NA,NA,6.96325278903916,471,0.0466457045758494,0.0926193512049338,0.011727971078848,"Percentage",NA
"45","DR53","University research students","ITL2","K02000001","Surrey, East and West Sussex","2014-2022","Total","25 to 29","Total","Quintile","4",NA,NA,13.487243729041,2087,0.120217076177586,0.149527798403234,0.0074772250575634,"Percentage",NA
"46","DR53","University research students","ITL2","K02000001","Tees Valley and Durham","2014-2022","Total","25 to 29","Total","Quintile","1",NA,NA,7.43755816069678,587,0.0531495107499992,0.0956016524639363,0.0108296279882493,"Percentage",NA
"47","DR53","University research students","ITL2","K02000001","West Central Scotland","2014-2022","Total","25 to 29","Total","Quintile","3",NA,NA,11.0405096125444,922,0.0901757747412995,0.130634417509589,0.0103210823388494,"Percentage",NA
"48","DR53","University research students","ITL2","K02000001","West Midlands","2014-2022","Total","25 to 29","Total","Quintile","2",NA,NA,9.60574865121146,1431,0.0807898338983661,0.111325139125863,0.00778961868048393,"Percentage",NA
"49","DR53","University research students","ITL2","K02000001","West Wales and The Valleys","2014-2022","Total","25 to 29","Total","Quintile","2",NA,NA,9.57766915345876,1192,0.0790701825727401,0.112483200496435,0.00852372906216707,"Percentage",NA
"50","DR53","University research students","ITL2","K02000001","West Yorkshire","2014-2022","Total","25 to 29","Total","Quintile","3",NA,NA,10.1409305281174,1540,0.0863322831197613,0.116486327442586,0.00769235824561866,"Percentage",NA
