Ind_code,Ind_name,Area_type,Area_code,Area_name,Time_period,SEB,Age,Sex,Category_type,Category,Value,Sample_size,LCI,UCI,SE,Unit,Value_note,Quintile,Q1_upper,Q2_upper,Q3_upper,Q4_upper
CI3,Socio-cultural advantage,ITL2,TLH3,Essex,NA,NA,NA,Total,NA,NA,0.294111176,NA,NA,NA,NA,NA,NA,3,,,,
CI3,Socio-cultural advantage,ITL2,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",NA,NA,NA,Total,NA,NA,0.452736532,NA,NA,NA,NA,NA,NA,4,,,,
CI3,Socio-cultural advantage,ITL2,TLD3,Greater Manchester,NA,NA,NA,Total,NA,NA,0.335925567,NA,NA,NA,NA,NA,NA,3,,,,
CI3,Socio-cultural advantage,ITL2,TLJ3,Hampshire and Isle of Wight,NA,NA,NA,Total,NA,NA,0.504814857,NA,NA,NA,NA,NA,NA,5,,,,
CI3,Socio-cultural advantage,ITL2,TLG1,"Herefordshire, Worcestershire and Warwickshire",NA,NA,NA,Total,NA,NA,0.478497177,NA,NA,NA,NA,NA,NA,4,,,,
CI3,Socio-cultural advantage,ITL2,TLM6,Highlands and Islands,NA,NA,NA,Total,NA,NA,0.144146822,NA,NA,NA,NA,NA,NA,1,,,,
CI3,Socio-cultural advantage,ITL2,TLI4,Inner London - East,NA,NA,NA,Total,NA,NA,0.49738027,NA,NA,NA,NA,NA,NA,4,,,,
CI3,Socio-cultural advantage,ITL2,TLI3,Inner London - West,NA,NA,NA,Total,NA,NA,1,NA,NA,NA,NA,NA,NA,5,,,,
CI3,Socio-cultural advantage,ITL2,TLJ4,Kent,NA,NA,NA,Total,NA,NA,0.336219309,NA,NA,NA,NA,NA,NA,3,,,,
CI3,Socio-cultural advantage,ITL2,TLD4,Lancashire,NA,NA,NA,Total,NA,NA,0.207155695,NA,NA,NA,NA,NA,NA,2,,,,
CI3,Socio-cultural advantage,ITL2,TLF2,"Leicestershire, Rutland and Northamptonshire",NA,NA,NA,Total,NA,NA,0.333498242,NA,NA,NA,NA,NA,NA,3,,,,
CI3,Socio-cultural advantage,ITL2,TLF3,Lincolnshire,NA,NA,NA,Total,NA,NA,0.000000001,NA,NA,NA,NA,NA,NA,1,,,,
CI3,Socio-cultural advantage,ITL2,TLD7,Merseyside,NA,NA,NA,Total,NA,NA,0.25976183,NA,NA,NA,NA,NA,NA,2,,,,
CI3,Socio-cultural advantage,ITL2,TLM5,North Eastern Scotland,NA,NA,NA,Total,NA,NA,0.443243802,NA,NA,NA,NA,NA,NA,4,,,,
CI3,Socio-cultural advantage,ITL2,TLE2,North Yorkshire,NA,NA,NA,Total,NA,NA,0.41974544,NA,NA,NA,NA,NA,NA,4,,,,
CI3,Socio-cultural advantage,ITL2,TLN0,Northern Ireland,NA,NA,NA,Total,NA,NA,0.266262212,NA,NA,NA,NA,NA,NA,2,,,,
CI3,Socio-cultural advantage,ITL2,TLC2,"Northumberland, and Tyne and Wear",NA,NA,NA,Total,NA,NA,0.204465439,NA,NA,NA,NA,NA,NA,2,,,,
CI3,Socio-cultural advantage,ITL2,TLI5,Outer London - East and North East,NA,NA,NA,Total,NA,NA,0.40692614,NA,NA,NA,NA,NA,NA,4,,,,
CI3,Socio-cultural advantage,ITL2,TLI6,Outer London - South,NA,NA,NA,Total,NA,NA,0.636605954,NA,NA,NA,NA,NA,NA,5,,,,
CI3,Socio-cultural advantage,ITL2,TLI7,Outer London - West and North West,NA,NA,NA,Total,NA,NA,0.552473461,NA,NA,NA,NA,NA,NA,5,,,,
CI3,Socio-cultural advantage,ITL2,TLG2,Shropshire and Staffordshire,NA,NA,NA,Total,NA,NA,0.254323884,NA,NA,NA,NA,NA,NA,2,,,,
CI3,Socio-cultural advantage,ITL2,TLE3,South Yorkshire,NA,NA,NA,Total,NA,NA,0.000000001,NA,NA,NA,NA,NA,NA,1,,,,
CI3,Socio-cultural advantage,ITL2,TLM9,Southern Scotland,NA,NA,NA,Total,NA,NA,0.09433219,NA,NA,NA,NA,NA,NA,1,,,,
CI3,Socio-cultural advantage,ITL2,TLJ2,"Surrey, East and West Sussex",NA,NA,NA,Total,NA,NA,0.645468315,NA,NA,NA,NA,NA,NA,5,,,,
CI3,Socio-cultural advantage,ITL2,TLC1,Tees Valley and Durham,NA,NA,NA,Total,NA,NA,0.049647217,NA,NA,NA,NA,NA,NA,1,,,,
CI3,Socio-cultural advantage,ITL2,TLM8,West Central Scotland,NA,NA,NA,Total,NA,NA,0.292834972,NA,NA,NA,NA,NA,NA,3,,,,
CI3,Socio-cultural advantage,ITL2,TLG3,West Midlands,NA,NA,NA,Total,NA,NA,0.186138551,NA,NA,NA,NA,NA,NA,1,,,,
CI3,Socio-cultural advantage,ITL2,TLL1,West Wales and The Valleys,NA,NA,NA,Total,NA,NA,0.000000001,NA,NA,NA,NA,NA,NA,1,,,,
CI3,Socio-cultural advantage,ITL2,TLE4,West Yorkshire,NA,NA,NA,Total,NA,NA,0.25217455,NA,NA,NA,NA,NA,NA,2,,,,
