Ind_code,Ind_name,Area_type,Area_code,Area_name,Time_period,SEB,Age,Sex,Category_type,Category,Value,FSM_eligible,Not_known_to_be_FSM_eligible,Sample_size,LCI,UCI,SE,Unit,Value_note
IN12,Attainment at age 11,ITL2,,Essex,2021-2022,FSM,11,Total,NA,NA,25.4985972,38.91719745,64.41579465,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,"Gloucestershire, Wiltshire and Bath/Bristol area",2021-2022,FSM,11,Total,NA,NA,27.45086583,36.26335746,63.71422329,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,Greater Manchester,2021-2022,FSM,11,Total,NA,NA,22.47785179,42.42450614,64.90235793,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,Hampshire and Isle of Wight,2021-2022,FSM,11,Total,NA,NA,26.67548993,36.28318584,62.95867577,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,"Herefordshire, Worcestershire and Warwickshire",2021-2022,FSM,11,Total,NA,NA,26.18613011,38.29165313,64.47778324,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,Inner London - East,2021-2022,FSM,11,Total,NA,NA,16.46988633,54.89328763,71.36317396,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,Inner London - West,2021-2022,FSM,11,Total,NA,NA,18.23409258,57.80542986,76.03952244,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,Kent,2021-2022,FSM,11,Total,NA,NA,25.73479758,39.11290323,64.84770081,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,Lancashire,2021-2022,FSM,11,Total,NA,NA,23.21690643,39.70557308,62.92247951,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,"Leicestershire, Rutland and Northamptonshire",2021-2022,FSM,11,Total,NA,NA,23.57610059,40.63107845,64.20717904,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,Lincolnshire,2021-2022,FSM,11,Total,NA,NA,23.45058096,37.46569076,60.91627172,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,Merseyside,2021-2022,FSM,11,Total,NA,NA,24.25749088,39.36673739,63.62422827,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,North Yorkshire,2021-2022,FSM,11,Total,NA,NA,28.55672396,34.93975904,63.496483,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,"Northumberland, and Tyne and Wear",2021-2022,FSM,11,Total,NA,NA,23.766392,43.565862,67.332254,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,Outer London - East and North East,2021-2022,FSM,11,Total,NA,NA,19.740369,50.44052863,70.18089763,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,Outer London - South,2021-2022,FSM,11,Total,NA,NA,24.47309332,46.84962195,71.32271527,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,Outer London - West and North West,2021-2022,FSM,11,Total,NA,NA,22.77780699,48.29189769,71.06970468,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,Shropshire and Staffordshire,2021-2022,FSM,11,Total,NA,NA,22.74468342,40.42925975,63.17394317,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,South Yorkshire,2021-2022,FSM,11,Total,NA,NA,25.45333018,38.35536547,63.80869565,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,"Surrey, East and West Sussex",2021-2022,FSM,11,Total,NA,NA,27.47069922,36.4375605,63.90825972,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,Tees Valley and Durham,2021-2022,FSM,11,Total,NA,NA,24.08117607,44.12579114,68.20696721,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,West Midlands,2021-2022,FSM,11,Total,NA,NA,17.98169757,45.1436861,63.12538367,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,West Yorkshire,2021-2022,FSM,11,Total,NA,NA,24.32246096,39.83539095,64.15785191,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
