ind_code,ind_name,area_type,area_code,area_name,time_period,seb,age,sex,category_type,category,category_type2,category2,value,sample_size,lci,uci,se,unit,value_note,Quintile
IN13,Attainment at age 16,Country,E92000001,England,202122,Total,16,Boys,NA,NA,NA,NA,47.2,299047,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202122,FSM eligible,16,Girls,NA,NA,NA,NA,30.7,59356,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202122,Not known to be FSM eligible,16,Girls,NA,NA,NA,NA,58.6,226798,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202122,Disadvantaged,16,Girls,NA,NA,NA,NA,32,75723,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202122,Not known to be disadvantaged,16,Girls,NA,NA,NA,NA,60.3,210431,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202122,Total,16,Girls,NA,NA,NA,NA,52.8,286154,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202122,FSM eligible,16,Total,NA,NA,NA,NA,28.5,121301,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202122,Not known to be FSM eligible,16,Total,NA,NA,NA,NA,55.6,463900,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202122,Disadvantaged,16,Total,NA,NA,NA,NA,29.7,154167,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202122,Not known to be disadvantaged,16,Total,NA,NA,NA,NA,57.2,431034,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202122,Total,16,Total,NA,NA,NA,NA,50,585201,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202021,Disadvantaged,16,Total,NA,NA,NA,NA,31.7,151973,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202021,Not known to be disadvantaged,16,Total,NA,NA,NA,NA,59.2,423890,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202021,FSM eligible,16,Boys,NA,NA,NA,NA,26.8,54890,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202021,FSM eligible,16,Girls,NA,NA,NA,NA,33.1,52948,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202021,Not known to be FSM eligible,16,Girls,NA,NA,NA,NA,61.1,229266,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202021,Not known to be FSM eligible,16,Boys,NA,NA,NA,NA,53.1,238759,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202021,FSM eligible,16,Total,NA,NA,NA,NA,29.9,107838,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202021,Not known to be FSM eligible,16,Total,NA,NA,NA,NA,57,468025,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202021,Disadvantaged,16,Girls,NA,NA,NA,NA,35.1,74689,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202021,Not known to be disadvantaged,16,Boys,NA,NA,NA,NA,55.3,216365,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202021,Disadvantaged,16,Boys,NA,NA,NA,NA,28.4,77284,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202021,Not known to be disadvantaged,16,Girls,NA,NA,NA,NA,63.3,207525,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202021,Total,16,Total,NA,NA,NA,NA,51.9,575863,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202021,Total,16,Girls,NA,NA,NA,NA,55.8,282214,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202021,Total,16,Boys,NA,NA,NA,NA,48.2,293649,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201920,Disadvantaged,16,Girls,NA,NA,NA,NA,34.2,72284,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201920,Not known to be disadvantaged,16,Boys,NA,NA,NA,NA,52.6,212658,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201920,Disadvantaged,16,Boys,NA,NA,NA,NA,26.7,73930,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201920,Not known to be disadvantaged,16,Girls,NA,NA,NA,NA,61.1,203122,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201920,Disadvantaged,16,Total,NA,NA,NA,NA,30.4,146214,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201920,Not known to be disadvantaged,16,Total,NA,NA,NA,NA,56.8,415780,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201920,FSM eligible,16,Boys,NA,NA,NA,NA,24.3,45070,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201920,FSM eligible,16,Girls,NA,NA,NA,NA,31.4,43596,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201920,Not known to be FSM eligible,16,Girls,NA,NA,NA,NA,58.3,231810,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201920,Not known to be FSM eligible,16,Boys,NA,NA,NA,NA,49.9,241518,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201920,FSM eligible,16,Total,NA,NA,NA,NA,27.8,88666,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201920,Not known to be FSM eligible,16,Total,NA,NA,NA,NA,54,473328,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201920,Total,16,Girls,NA,NA,NA,NA,54.1,275406,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201920,Total,16,Boys,NA,NA,NA,NA,45.9,286588,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201920,Total,16,Total,NA,NA,NA,NA,49.9,561994,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201819,FSM eligible,16,Boys,NA,NA,NA,NA,20.1,38700,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201819,FSM eligible,16,Girls,NA,NA,NA,NA,25.1,37171,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201819,Not known to be FSM eligible,16,Girls,NA,NA,NA,NA,50.3,227666,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201819,Not known to be FSM eligible,16,Boys,NA,NA,NA,NA,43.5,236509,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201819,FSM eligible,16,Total,NA,NA,NA,NA,22.6,75871,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201819,Not known to be FSM eligible,16,Total,NA,NA,NA,NA,46.8,464175,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201819,Disadvantaged,16,Girls,NA,NA,NA,NA,27.7,71093,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201819,Not known to be disadvantaged,16,Boys,NA,NA,NA,NA,46.7,202985,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201819,Disadvantaged,16,Boys,NA,NA,NA,NA,22,72224,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201819,Not known to be disadvantaged,16,Girls,NA,NA,NA,NA,53.8,193744,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201819,Disadvantaged,16,Total,NA,NA,NA,NA,24.8,143317,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201819,Not known to be disadvantaged,16,Total,NA,NA,NA,NA,50.1,396729,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201819,Total,16,Girls,NA,NA,NA,NA,46.8,264837,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201819,Total,16,Boys,NA,NA,NA,NA,40.2,275209,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,201819,Total,16,Total,NA,NA,NA,NA,43.4,540046,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,25.6,103920,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Total,NA,NA,52,366979,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Any other Asian background,NA,NA,44,2612,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Any other Asian background,NA,NA,67.3,9540,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Bangladeshi,NA,NA,48.8,3790,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Bangladeshi,NA,NA,61.2,7193,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Chinese,NA,NA,75.3,227,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Chinese,NA,NA,78.5,3157,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Indian,NA,NA,48.6,1676,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Indian,NA,NA,72.1,17931,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Pakistani,NA,NA,36.2,7664,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Pakistani,NA,NA,49.6,19581,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,42.3,15969,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Total,NA,NA,62.6,57402,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Any other Black background,NA,NA,29.1,1755,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Any other Black background,NA,NA,45.4,3108,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Black African,NA,NA,42,8720,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Black African,NA,NA,53.9,17615,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Caribbean,NA,NA,22.2,2713,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Caribbean,NA,NA,36.9,4075,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,36.2,13188,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Total,NA,NA,50,24798,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Any other Mixed background,NA,NA,31.3,3761,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Any other Mixed background,NA,NA,56.1,9820,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,27.3,11160,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Total,NA,NA,53.2,25565,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,White and Asian,NA,NA,33,1962,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,White and Asian,NA,NA,62.6,6825,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,White and Black African,NA,NA,29.7,1724,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,White and Black African,NA,NA,51.5,3350,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,White and Black Caribbean,NA,NA,19.2,3713,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,White and Black Caribbean,NA,NA,37.7,5570,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,35.5,5105,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Total,NA,NA,54.2,7885,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,30.6,102139,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,3.2,11340,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,9.5,23737,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,7.4,35077,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,30.6,102139,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,24.7,137222,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Total,NA,NA,55.8,403431,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Total,NA,NA,9.4,15663,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Total,NA,NA,25.8,49405,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Total,NA,NA,21.9,65068,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Total,NA,NA,55.8,403431,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Total,NA,NA,51,469725,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,25.1,2919,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Total,NA,NA,44.1,9051,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Any other White background,NA,NA,30.6,6698,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Any other White background,NA,NA,51,31412,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Gypsy/Roma,NA,NA,3.3,768,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Gypsy/Roma,NA,NA,12.7,661,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,18.8,88881,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Total,NA,NA,49.1,345024,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Traveller of Irish heritage,NA,NA,9.5,126,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Traveller of Irish heritage,NA,NA,33.3,63,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,White British,NA,NA,18,80990,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,White British,NA,NA,48.9,311536,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,White Irish,NA,NA,19.4,299,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,White Irish,NA,NA,62.3,1352,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,0.5,6315,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Total,NA,NA,0.9,6858,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,27.4,53913,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Total,NA,NA,55.7,257824,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,0,12,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Total,NA,NA,10.6,1159,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,35.1,5590,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Total,NA,NA,55.1,15343,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,26.7,26911,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Total,NA,NA,51.3,94191,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,22.4,43033,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Total,NA,NA,41.4,90066,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,26.9,7151,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,57.4,61,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,44.6,112,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,61.3,486,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,25.2,109329,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,31,2572,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,28.4,11103,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,54.3,81,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,25.8,130907,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,18.9,8713,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,25.6,120609,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,Ethnicity,Total,NA,NA,86.3,1573,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Total,NA,NA,52.8,26034,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Total,NA,NA,68.8,340,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Total,NA,NA,71.3,1395,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Total,NA,NA,70.7,1352,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Total,NA,NA,51.2,379867,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Total,NA,NA,59.1,8177,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Total,NA,NA,53.9,44094,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Total,NA,NA,62.8,449,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,Ethnicity,Total,NA,NA,51.7,462867,NA,NA,NA,Percentage,NA,NA
