ind_code,ind_name,area_type,area_code,area_name,time_period,seb,age,sex,category_type,category,category_type2,category2,value,sample_size,lci,uci,se,unit,value_note,Quintile,Quintile_number
IN13,Attainment at age 16,ITL2,NA,Lincolnshire,202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.487984081,6533,NA,NA,NA,Percentage,NA,Q2,2
IN13,Attainment at age 16,ITL2,NA,Merseyside,202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.460812897,11662,NA,NA,NA,Percentage,NA,Q1 (Worst 20%),1
IN13,Attainment at age 16,ITL2,NA,North Yorkshire,202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.513431542,6924,NA,NA,NA,Percentage,NA,Q4,4
IN13,Attainment at age 16,ITL2,NA,"Northumberland, and Tyne and Wear",202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.500717909,10447,NA,NA,NA,Percentage,NA,Q3,3
IN13,Attainment at age 16,ITL2,NA,Outer London - East and North East,202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.562146408,17499,NA,NA,NA,Percentage,NA,Q5 (Best 20%),5
IN13,Attainment at age 16,ITL2,NA,Outer London - South,202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.631020692,11502,NA,NA,NA,Percentage,NA,Q5 (Best 20%),5
IN13,Attainment at age 16,ITL2,NA,Outer London - West and North West,202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.625812389,17387,NA,NA,NA,Percentage,NA,Q5 (Best 20%),5
IN13,Attainment at age 16,ITL2,NA,Shropshire and Staffordshire,202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.437867278,13954,NA,NA,NA,Percentage,NA,Q1 (Worst 20%),1
IN13,Attainment at age 16,ITL2,NA,South Yorkshire,202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.489968995,10966,NA,NA,NA,Percentage,NA,Q2,2
IN13,Attainment at age 16,ITL2,NA,"Surrey, East and West Sussex",202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.533773831,23761,NA,NA,NA,Percentage,NA,Q4,4
IN13,Attainment at age 16,ITL2,NA,Tees Valley and Durham,202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.495116773,9420,NA,NA,NA,Percentage,NA,Q3,3
IN13,Attainment at age 16,ITL2,NA,West Midlands,202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.490802812,24464,NA,NA,NA,Percentage,NA,Q2,2
IN13,Attainment at age 16,ITL2,NA,West Yorkshire,202223,Not FSM eligible,16,Total,NA,NA,NA,NA,0.502927717,20323,NA,NA,NA,Percentage,NA,Q3,3
