Region,Index of 'innovation and growth',Group
Newcastle upon Tyne,0.434993521,Middle Group
Newham,0.389470818,Middle Group
Newport,0.123363678,Middle Group
North Ayrshire,-1.519203796,Unfavourable
North East Lincolnshire,-0.517055517,Middle Group
North Lanarkshire,-0.333354297,Middle Group
North Lincolnshire,-0.577204384,Middle Group
North Northamptonshire,-0.127647397,Middle Group
North Tyneside,0.076852258,Middle Group
North Yorkshire county council,-0.325130544,Middle Group
Northern Ireland,0.32638577,Middle Group
Northumberland county council,-0.909922318,Middle Group
Norwich and Norfolk county council,0.067965726,Middle Group
Nottingham,0.718967337,Middle Group
Nottinghamshire county council,0.448990647,Middle Group
Oldham,-0.43799264,Middle Group
Orkney Islands,-2.359037358,Least Favourable
Oxfordshire county council,1.829469876,Favourable
Pembrokeshire county council,-1.787540028,Least Favourable
Perth and Kinross,-0.575200561,Middle Group
Peterborough,0.888506537,Middle Group
Plymouth,-0.539311752,Middle Group
Portsmouth,0.861552477,Middle Group
Powys county council,-1.102026493,Unfavourable
Reading,1.59825001,Favourable
Redbridge,-0.366514584,Middle Group
Redcar and Cleveland,-0.39071302,Middle Group
Renfrewshire,-0.058285488,Middle Group
Rhondda Cynon Taf,-1.393000168,Unfavourable
Richmond upon Thames,1.988011105,Most Favourable
Rochdale,-0.87295779,Middle Group
Rotherham,-0.672577356,Middle Group
Rutland county council,-0.469377769,Middle Group
Salford,-0.273202754,Middle Group
Sandwell,-0.128147582,Middle Group
Scottish Borders,-1.69096248,Least Favourable
Sefton,-0.326999331,Middle Group
Sheffield,0.169898745,Middle Group
Shetland Islands,-2.642974236,Least Favourable
Shropshire,-0.995247467,Middle Group
Slough,1.218851328,Favourable
Solihull,0.453046697,Middle Group
Somerset county council,-0.491905515,Middle Group
South Ayrshire,-1.208723729,Unfavourable
South Lanarkshire,-0.898102849,Middle Group
South Tyneside,-0.363164203,Middle Group
Southampton,1.17896802,Favourable
Southend-on-Sea,0.718575786,Middle Group
Southwark,0.948531965,Middle Group
St Helens,0.030605024,Middle Group
Staffordshire county council,-0.637068085,Middle Group
Stirling,-0.061617398,Middle Group
Stockport,0.194199947,Middle Group
Stockton-on-Tees,-0.115823894,Middle Group
Stoke-on-Trent,-0.371260342,Middle Group
Suffolk county council,0.15759807,Middle Group
Sunderland,-0.446094314,Middle Group
Surrey county council,0.799514182,Middle Group
Sutton,0.239150242,Middle Group
Swansea,-0.263308328,Middle Group
Swindon,0.697222449,Middle Group
Tameside,-0.771648292,Middle Group
Telford and Wrekin,-0.509415195,Middle Group
Thurrock,0.638334488,Middle Group
Torbay,-0.649347475,Middle Group
Torfaen,-1.775311606,Least Favourable
Tower Hamlets,0.780661471,Middle Group
Trafford,0.188159517,Middle Group
Vale of Glamorgan,0.534609687,Middle Group
Wakefield,-0.488988788,Middle Group
Walsall,-0.122017549,Middle Group
Waltham Forest,-0.452770111,Middle Group
Wandsworth,2.497521838,Most Favourable
Warrington,1.186186463,Favourable
Warwickshire county council,0.842950312,Middle Group
West Berkshire,1.050112183,Favourable
West Dunbartonshire,-0.414681478,Middle Group
West Lothian,0.081620791,Middle Group
West Northamptonshire,0.133479573,Middle Group
West Sussex county council,-0.120923108,Middle Group
Westminster,2.868072387,Most Favourable
Wigan,-0.515175171,Middle Group
Wiltshire,0.289717774,Middle Group
Windsor and Maidenhead,1.207386335,Favourable
Wirral,0.228426415,Middle Group
Wokingham,1.284051723,Favourable
Wolverhampton,0.066205518,Middle Group
Worcestershire county council,0.513501219,Middle Group
Wrexham,-0.708542037,Middle Group
York,0.865485183,Middle Group
