year,ind_code,ind_name,area_type,area_code,area_name,time_period,seb,age,sex,category_type,category,category_type2,category2,value,sample_size,lci,uci,se,unit,value_note
2015,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2015,Total,40,Total,Highest qualification,Lower level (below CSE grade 1),NA,NA,16.8964737614007,3629,15.6772866793682,18.1156608434333,0.622034225526818,Percentage,NA
2016,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2016,Total,40,Total,Highest qualification,Lower level (below CSE grade 1),NA,NA,16.3766559829896,3365,15.1262820378899,17.6270299280894,0.637945890357019,Percentage,NA
2017,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2017,Total,40,Total,Highest qualification,Lower level (below CSE grade 1),NA,NA,15.8402586592109,3214,14.5779473717085,17.1025699467133,0.644036371174709,Percentage,NA
2018,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2018,Total,40,Total,Highest qualification,Lower level (below CSE grade 1),NA,NA,15.80367668883,3122,14.5241031403413,17.0832502373188,0.652843647188135,Percentage,NA
2019,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2019,Total,40,Total,Highest qualification,Lower level (below CSE grade 1),NA,NA,15.9173406597388,3073,14.6238500917114,17.2108312277663,0.659944167360958,Percentage,NA
2020,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2020,Total,40,Total,Highest qualification,Lower level (below CSE grade 1),NA,NA,13.3951114818515,1724,11.7873122741568,15.0029106895461,0.820305718211558,Percentage,NA
2021,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2021,Total,40,Total,Highest qualification,Lower level (below CSE grade 1),NA,NA,13.4944668310362,2010,12.0007858494608,14.9881478126117,0.762082133456869,Percentage,NA
2022,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2022,Total,40,Total,Highest qualification,Lower level (below CSE grade 1),NA,NA,13.4933120332597,1604,11.8213053327364,15.1653187337831,0.853064643124155,Percentage,NA
2014,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2014,Total,40,Total,Highest qualification,"O level, GCSE and equivalent",NA,NA,16.3040318279011,3753,15.1221703830619,17.4858932727403,0.602990533081229,Percentage,NA
2015,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2015,Total,40,Total,Highest qualification,"O level, GCSE and equivalent",NA,NA,15.8275429044261,3490,14.6165680922455,17.0385177166067,0.617844291928881,Percentage,NA
2016,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2016,Total,40,Total,Highest qualification,"O level, GCSE and equivalent",NA,NA,14.9794142192591,3189,13.7407936915289,16.2180347469893,0.631949248841926,Percentage,NA
2017,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2017,Total,40,Total,Highest qualification,"O level, GCSE and equivalent",NA,NA,14.7305008467868,3036,13.4698036113393,15.9911980822344,0.643212875228347,Percentage,NA
2018,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2018,Total,40,Total,Highest qualification,"O level, GCSE and equivalent",NA,NA,14.7572773915328,3010,13.4901957454009,16.0243590376647,0.646470227618325,Percentage,NA
2019,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2019,Total,40,Total,Highest qualification,"O level, GCSE and equivalent",NA,NA,13.7292374191369,2823,12.4596703221009,14.9988045161729,0.647738314814284,Percentage,NA
2020,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2020,Total,40,Total,Highest qualification,"O level, GCSE and equivalent",NA,NA,13.2993128588393,1960,11.7959843038659,14.8026414138128,0.767004364782383,Percentage,NA
2021,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2021,Total,40,Total,Highest qualification,"O level, GCSE and equivalent",NA,NA,12.950258624827,2319,11.5836987635388,14.3168184861152,0.697224419024587,Percentage,NA
2022,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2022,Total,40,Total,Highest qualification,"O level, GCSE and equivalent",NA,NA,17.2567852529919,2327,15.7214471710664,18.7921233349173,0.783335756084413,Percentage,NA
Average,DR13,Distribution of parental education,Country,K02000001,United Kingdom,Average,Total,40,Total,Highest qualification,A level and equivalent,NA,NA,24.4878070065405,14002,23.7755372190911,25.2000767939899,0.363402952780312,Percentage,NA
Average,DR13,Distribution of parental education,Country,K02000001,United Kingdom,Average,Total,40,Total,Highest qualification,Degree level or above,NA,NA,35.7288440576371,14002,34.9351034981249,36.5225846171492,0.404969673220486,Percentage,NA
Average,DR13,Distribution of parental education,Country,K02000001,United Kingdom,Average,Total,40,Total,Highest qualification,Further education below degree,NA,NA,9.48050971191329,14002,8.99527939409534,9.96574002973123,0.247566488682623,Percentage,NA
Average,DR13,Distribution of parental education,Country,K02000001,United Kingdom,Average,Total,40,Total,Highest qualification,Lower level (below CSE grade 1),NA,NA,15.4264688668222,14002,14.8281791614892,16.0247585721552,0.305249849659698,Percentage,NA
Average,DR13,Distribution of parental education,Country,K02000001,United Kingdom,Average,Total,40,Total,Highest qualification,"O level, GCSE and equivalent",NA,NA,14.8763703570869,14002,14.2869371592269,15.4658035549469,0.300731223397954,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Cornwall and Isles of Scilly,2014 to 2022,Total,40,Total,Highest qualification,5,Quintile,A level and equivalent,32.9240391036446,1256,30.3250691572004,35.5230090500888,1.32600507471641,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Devon,2014 to 2022,Total,40,Total,Highest qualification,5,Quintile,A level and equivalent,29.8007682589663,2865,28.1259269346058,31.4756095833268,0.854510879775766,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Dorset and Somerset,2014 to 2022,Total,40,Total,Highest qualification,4,Quintile,A level and equivalent,28.3601893207766,3535,26.8742771501784,29.8461014913747,0.758118454386818,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,"Gloucestershire, Wiltshire and Bath/Bristol area",2014 to 2022,Total,40,Total,Highest qualification,3,Quintile,A level and equivalent,26.9221275810484,6074,25.8066359560415,28.0376192060553,0.569128380105566,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Hampshire and Isle of Wight,2014 to 2022,Total,40,Total,Highest qualification,3,Quintile,A level and equivalent,27.1983021747921,4973,25.9615334542541,28.4350708953301,0.631004449254096,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,"Surrey, East and West Sussex",2014 to 2022,Total,40,Total,Highest qualification,2,Quintile,A level and equivalent,22.0825490747781,6948,21.1071818977481,23.0579162518082,0.497636314811245,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Kent,2014 to 2022,Total,40,Total,Highest qualification,4,Quintile,A level and equivalent,27.7476347626945,4174,26.3892623027622,29.1060072226268,0.693047173434844,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Outer London - South,2014 to 2022,Total,40,Total,Highest qualification,1,Quintile,A level and equivalent,17.7763437950817,3441,16.4989248647968,19.0537627253666,0.651744352186175,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Outer London - East and North East,2014 to 2022,Total,40,Total,Highest qualification,1,Quintile,A level and equivalent,19.1727230005262,4656,18.0419629450802,20.3034830559721,0.576918395635705,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Inner London - East,2014 to 2022,Total,40,Total,Highest qualification,1,Quintile,A level and equivalent,15.4097140986655,4454,14.3493903174009,16.4700378799301,0.540981521053377,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Inner London - West,2014 to 2022,Total,40,Total,Highest qualification,1,Quintile,A level and equivalent,12.3041980301502,1756,10.7677783065807,13.8406177537198,0.783887614066111,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Outer London - West and North West,2014 to 2022,Total,40,Total,Highest qualification,1,Quintile,A level and equivalent,14.8134833124893,4913,13.820146076468,15.8068205485106,0.506804712255768,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,"Berkshire, Buckinghamshire and Oxfordshire",2014 to 2022,Total,40,Total,Highest qualification,1,Quintile,A level and equivalent,19.3509563688716,6785,18.4109474525097,20.2909652852335,0.479596385898923,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Bedfordshire and Hertfordshire,2014 to 2022,Total,40,Total,Highest qualification,2,Quintile,A level and equivalent,21.2897741803271,4936,20.1477649805678,22.4317833800865,0.582657754979265,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Essex,2014 to 2022,Total,40,Total,Highest qualification,3,Quintile,A level and equivalent,25.7297041894562,4302,24.4233954217193,27.036012957193,0.666484065171862,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,"Herefordshire, Worcestershire and Warwickshire",2014 to 2022,Total,40,Total,Highest qualification,3,Quintile,A level and equivalent,25.2285920371384,3844,23.8555663314331,26.6016177428437,0.700523319237404,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,West Midlands,2014 to 2022,Total,40,Total,Highest qualification,2,Quintile,A level and equivalent,23.9421319183601,6926,22.9371267124935,24.9471371242268,0.512757758095224,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,"Leicestershire, Rutland and Northamptonshire",2014 to 2022,Total,40,Total,Highest qualification,4,Quintile,A level and equivalent,27.8402064402262,5226,26.6249855256251,29.0554273548272,0.620010670714843,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,East Anglia,2014 to 2022,Total,40,Total,Highest qualification,3,Quintile,A level and equivalent,26.4186644018675,6636,25.3578433125778,27.4794854911573,0.541235249637631,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Lincolnshire,2014 to 2022,Total,40,Total,Highest qualification,5,Quintile,A level and equivalent,31.1566282693528,1840,29.040444142468,33.2728123962377,1.07968577902289,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Shropshire and Staffordshire,2014 to 2022,Total,40,Total,Highest qualification,5,Quintile,A level and equivalent,29.7931804759903,3979,28.3721048678313,31.2142560841493,0.725038575591345,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Cheshire,2014 to 2022,Total,40,Total,Highest qualification,2,Quintile,A level and equivalent,22.0976215997497,2243,20.3805454363963,23.8146977631031,0.876059267017054,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Derbyshire and Nottinghamshire,2014 to 2022,Total,40,Total,Highest qualification,4,Quintile,A level and equivalent,27.8493401104693,5451,26.659343871991,29.0393363489476,0.607140937999117,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,East Yorkshire and Northern Lincolnshire,2014 to 2022,Total,40,Total,Highest qualification,5,Quintile,A level and equivalent,31.5204218526874,2373,29.6511014288744,33.3897422765003,0.953734910108648,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,South Yorkshire,2014 to 2022,Total,40,Total,Highest qualification,5,Quintile,A level and equivalent,31.2127134334499,2932,29.5354783426248,32.889948524275,0.855732189196472,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,West Yorkshire,2014 to 2022,Total,40,Total,Highest qualification,3,Quintile,A level and equivalent,25.7774584125855,6763,24.734962559835,26.8199542653361,0.531885639158438,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Greater Manchester,2014 to 2022,Total,40,Total,Highest qualification,3,Quintile,A level and equivalent,26.1137624474432,7396,25.1126701482686,27.1148547466177,0.510761377129876,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Lancashire,2014 to 2022,Total,40,Total,Highest qualification,4,Quintile,A level and equivalent,29.0969676819721,3944,27.6793997222262,30.5145356417179,0.723248959053995,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Merseyside,2014 to 2022,Total,40,Total,Highest qualification,4,Quintile,A level and equivalent,27.9472299263515,3399,26.4386260683468,29.4558337843561,0.769695845920746,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,North Yorkshire,2014 to 2022,Total,40,Total,Highest qualification,3,Quintile,A level and equivalent,27.7425633890906,2421,25.9590628479957,29.5260639301856,0.909949255660704,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Tees Valley and Durham,2014 to 2022,Total,40,Total,Highest qualification,5,Quintile,A level and equivalent,32.8440941784313,3235,31.2256799834743,34.4625083733883,0.825721528039285,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Cumbria,2014 to 2022,Total,40,Total,Highest qualification,5,Quintile,A level and equivalent,33.405582519398,1296,30.8376594585387,35.9735055802573,1.31016482696902,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Northumberland and Tyne and Wear,2014 to 2022,Total,40,Total,Highest qualification,4,Quintile,A level and equivalent,29.3492139566309,3544,27.8499919415395,30.8484359717223,0.764909191373146,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Northern Ireland,2014 to 2022,Total,40,Total,Highest qualification,2,Quintile,A level and equivalent,24.7104189431866,10232,23.8746556361444,25.5461822502287,0.426409850531692,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,West Wales and The Valleys,2014 to 2022,Total,40,Total,Highest qualification,4,Quintile,A level and equivalent,29.4809395880184,5063,28.2249789560829,30.7369002199538,0.640796240783404,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,East Wales,2014 to 2022,Total,40,Total,Highest qualification,2,Quintile,A level and equivalent,24.1383639620573,2916,22.5851641494946,25.69156377462,0.792448883960552,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Southern Scotland,2014 to 2022,Total,40,Total,Highest qualification,2,Quintile,A level and equivalent,24.7250533547289,2305,22.9638299286247,26.4862767808332,0.89858338066543,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Eastern Scotland,2014 to 2022,Total,40,Total,Highest qualification,1,Quintile,A level and equivalent,20.2472029868811,4843,19.1154430485806,21.3789629251816,0.577428539949242,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,West Central Scotland,2014 to 2022,Total,40,Total,Highest qualification,1,Quintile,A level and equivalent,19.5004857376567,3173,18.1218790533303,20.8790924219831,0.703370757309389,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,North Eastern Scotland,2014 to 2022,Total,40,Total,Highest qualification,1,Quintile,A level and equivalent,18.0806363078645,1162,15.867780337245,20.293492278484,1.12900814827526,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Highlands and Islands,2014 to 2022,Total,40,Total,Highest qualification,2,Quintile,A level and equivalent,20.5825146657154,815,17.8067378152181,23.3582915162128,1.41621267882519,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,NA,2014 to 2022,Total,40,Total,Highest qualification,2,Quintile,A level and equivalent,23.0788773427477,5215,21.9353170648199,24.2224376206754,0.583449121391717,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Cornwall and Isles of Scilly,2014 to 2022,Total,40,Total,Highest qualification,1,Quintile,Degree level or above,27.4934389335294,1256,25.0241924830113,29.9626853840475,1.25981961761126,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Devon,2014 to 2022,Total,40,Total,Highest qualification,3,Quintile,Degree level or above,33.3546437375261,2865,31.6281823955613,35.081105079491,0.880847623451456,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Dorset and Somerset,2014 to 2022,Total,40,Total,Highest qualification,3,Quintile,Degree level or above,32.6478169866847,3535,31.1019779358,34.1936560375694,0.788693393308509,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,"Gloucestershire, Wiltshire and Bath/Bristol area",2014 to 2022,Total,40,Total,Highest qualification,4,Quintile,Degree level or above,38.611561523164,6074,37.3871690430081,39.8359540033199,0.624690040895874,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Hampshire and Isle of Wight,2014 to 2022,Total,40,Total,Highest qualification,4,Quintile,Degree level or above,35.9422008756623,4973,34.6085714114739,37.2758303398507,0.680423196014507,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,"Surrey, East and West Sussex",2014 to 2022,Total,40,Total,Highest qualification,5,Quintile,Degree level or above,41.9433608501769,6948,40.783024960107,43.1036967402468,0.592008107178528,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Kent,2014 to 2022,Total,40,Total,Highest qualification,3,Quintile,Degree level or above,32.4358766542174,4174,31.0156726193679,33.8560806890668,0.72459389533134,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Outer London - South,2014 to 2022,Total,40,Total,Highest qualification,5,Quintile,Degree level or above,49.0329658259673,3441,47.3626349940327,50.703296657902,0.852209608129932,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Outer London - East and North East,2014 to 2022,Total,40,Total,Highest qualification,4,Quintile,Degree level or above,41.1238749975247,4656,39.7104713424472,42.5372786526021,0.721124313815017,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Inner London - East,2014 to 2022,Total,40,Total,Highest qualification,5,Quintile,Degree level or above,46.9514437990594,4454,45.4857534605821,48.4171341375366,0.747801193100625,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Inner London - West,2014 to 2022,Total,40,Total,Highest qualification,5,Quintile,Degree level or above,65.2594216159089,1756,63.0323512040581,67.4864920277597,1.13626041420958,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Outer London - West and North West,2014 to 2022,Total,40,Total,Highest qualification,5,Quintile,Degree level or above,50.5629915100111,4913,49.1649335996427,51.9610494203796,0.71329485222879,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,"Berkshire, Buckinghamshire and Oxfordshire",2014 to 2022,Total,40,Total,Highest qualification,5,Quintile,Degree level or above,49.0286554843311,6785,47.8391425138047,50.2181684548575,0.606894372717559,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Bedfordshire and Hertfordshire,2014 to 2022,Total,40,Total,Highest qualification,4,Quintile,Degree level or above,39.4592103795496,4936,38.0956739937294,40.8227467653697,0.695681829500065,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Essex,2014 to 2022,Total,40,Total,Highest qualification,2,Quintile,Degree level or above,28.6533890782051,4302,27.3022640436183,30.0045141127919,0.689349507442239,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,"Herefordshire, Worcestershire and Warwickshire",2014 to 2022,Total,40,Total,Highest qualification,3,Quintile,Degree level or above,35.5436356019017,3844,34.0304987492254,37.0567724545781,0.772008598304269,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,West Midlands,2014 to 2022,Total,40,Total,Highest qualification,1,Quintile,Degree level or above,27.9354349184654,6926,26.8787307240142,28.9921391129166,0.539134793087354,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,"Leicestershire, Rutland and Northamptonshire",2014 to 2022,Total,40,Total,Highest qualification,2,Quintile,Degree level or above,30.0618123484066,5226,28.8186262777147,31.3049984190984,0.63427860749585,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,East Anglia,2014 to 2022,Total,40,Total,Highest qualification,2,Quintile,Degree level or above,31.5302449214503,6636,30.4123114945871,32.6481783483134,0.570374197379162,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Lincolnshire,2014 to 2022,Total,40,Total,Highest qualification,1,Quintile,Degree level or above,22.8778736340743,1840,20.9585664634256,24.797180804723,0.979238352371805,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Shropshire and Staffordshire,2014 to 2022,Total,40,Total,Highest qualification,2,Quintile,Degree level or above,28.5449029551014,3979,27.1416046718546,29.9482012383481,0.715968511860591,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Cheshire,2014 to 2022,Total,40,Total,Highest qualification,5,Quintile,Degree level or above,41.5062698938284,2243,39.4671021820304,43.5454376056264,1.04039168969285,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Derbyshire and Nottinghamshire,2014 to 2022,Total,40,Total,Highest qualification,2,Quintile,Degree level or above,30.0939511044296,5451,28.8763221576807,31.3115800511784,0.621239258545325,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,East Yorkshire and Northern Lincolnshire,2014 to 2022,Total,40,Total,Highest qualification,1,Quintile,Degree level or above,24.8508958440351,2373,23.112133882372,26.5896578056982,0.887123449828097,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,South Yorkshire,2014 to 2022,Total,40,Total,Highest qualification,1,Quintile,Degree level or above,22.5259105795996,2932,21.0137653402407,24.0380558189585,0.771502673142293,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,West Yorkshire,2014 to 2022,Total,40,Total,Highest qualification,2,Quintile,Degree level or above,29.548800085585,6763,28.4613721148076,30.6362280563625,0.554810189172172,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Greater Manchester,2014 to 2022,Total,40,Total,Highest qualification,3,Quintile,Degree level or above,33.5000416544112,7396,32.4243421209469,34.5757411878755,0.548826292583812,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Lancashire,2014 to 2022,Total,40,Total,Highest qualification,1,Quintile,Degree level or above,27.9333745357084,3944,26.5330896093958,29.333659462021,0.714431084853351,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,Merseyside,2014 to 2022,Total,40,Total,Highest qualification,3,Quintile,Degree level or above,32.1901001436195,3399,30.6194183689386,33.7607819183005,0.801368252388236,Percentage,NA
NA,DR13,Distribution of parental education,ITL2,TLH2,North Yorkshire,2014 to 2022,Total,40,Total,Highest qualification,4,Quintile,Degree level or above,36.3816045592919,2421,34.4651834019677,38.298025716616,0.97776589659393,Percentage,NA
