time_period,seb,sample_size,value,sex,category_type,category,ind_code,ind_name,age,area_type,area_code,area_name,lci,uci,se,category_type2,category2,unit,value_note,Quintile,Quintile_number
202223,Not FSM eligible,12708,0.688385269,Total,NA,NA,IN11,Level of development at age 5,5,ITL2,NA,Merseyside,NA,NA,NA,NA,NA,Percentage,NA,Q1 (Worst 20%),1
202223,Not FSM eligible,6504,0.735239852,Total,NA,NA,IN11,Level of development at age 5,5,ITL2,NA,North Yorkshire,NA,NA,NA,NA,NA,Percentage,NA,Q5 (Best 20%),5
202223,Not FSM eligible,11351,0.718262708,Total,NA,NA,IN11,Level of development at age 5,5,ITL2,NA,"Northumberland, and Tyne and Wear",NA,NA,NA,NA,NA,Percentage,NA,Q3,3
202223,Not FSM eligible,20360,0.717387033,Total,NA,NA,IN11,Level of development at age 5,5,ITL2,NA,Outer London - East and North East,NA,NA,NA,NA,NA,Percentage,NA,Q3,3
202223,Not FSM eligible,12184,0.739084045,Total,NA,NA,IN11,Level of development at age 5,5,ITL2,NA,Outer London - South,NA,NA,NA,NA,NA,Percentage,NA,Q5 (Best 20%),5
202223,Not FSM eligible,20425,0.723133415,Total,NA,NA,IN11,Level of development at age 5,5,ITL2,NA,Outer London - West and North West,NA,NA,NA,NA,NA,Percentage,NA,Q3,3
202223,Not FSM eligible,14036,0.716372186,Total,NA,NA,IN11,Level of development at age 5,5,ITL2,NA,Shropshire and Staffordshire,NA,NA,NA,NA,NA,Percentage,NA,Q2,2
202223,Not FSM eligible,11507,0.721473885,Total,NA,NA,IN11,Level of development at age 5,5,ITL2,NA,South Yorkshire,NA,NA,NA,NA,NA,Percentage,NA,Q3,3
202223,Not FSM eligible,25092,0.746652319,Total,NA,NA,IN11,Level of development at age 5,5,ITL2,NA,"Surrey, East and West Sussex",NA,NA,NA,NA,NA,Percentage,NA,Q5 (Best 20%),5
202223,Not FSM eligible,9303,0.717725465,Total,NA,NA,IN11,Level of development at age 5,5,ITL2,NA,Tees Valley and Durham,NA,NA,NA,NA,NA,Percentage,NA,Q3,3
202223,Not FSM eligible,27113,0.687087375,Total,NA,NA,IN11,Level of development at age 5,5,ITL2,NA,West Midlands,NA,NA,NA,NA,NA,Percentage,NA,Q1 (Worst 20%),1
202223,Not FSM eligible,22497,0.687736143,Total,NA,NA,IN11,Level of development at age 5,5,ITL2,NA,West Yorkshire,NA,NA,NA,NA,NA,Percentage,NA,Q1 (Worst 20%),1
