region_url,region_fullname,childhood_conditions_group_name,childhood_conditions_group_id,innovation_and_growth_group_name,innovation_and_growth_group_id,labour_market_opportunities_group_name,labour_market_opportunities_group_id,promising_prospects_group_name,promising_prospects_group_id
inverclyde,Inverclyde,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
isle_of_anglesey,Isle of Anglesey,Middle Group,3,Unfavourable,2,Middle Group,3,Middle Group,3
isle_of_wight,Isle of Wight,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
islington,Islington,Middle Group,3,Favourable,4,Most Favourable,5,Favourable,4
kensington_and_chelsea,Kensington and Chelsea,Favourable,4,Most Favourable,5,Favourable,4,Favourable,4
kent_county_council,Kent county council,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
hull,Hull,Least Favourable,1,Middle Group,3,Middle Group,3,Unfavourable,2
kingston_upon_thames,Kingston upon Thames,Most Favourable,5,Middle Group,3,Middle Group,3,Favourable,4
kirklees,Kirklees,Middle Group,3,Middle Group,3,Middle Group,3,Unfavourable,2
knowsley,Knowsley,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
lambeth,Lambeth,Middle Group,3,Favourable,4,Most Favourable,5,Favourable,4
lancashire_county_council,Lancashire county council,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
leeds,Leeds,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
leicester,Leicester,Least Favourable,1,Middle Group,3,Middle Group,3,Middle Group,3
leicestershire_county_council,Leicestershire county council,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
lewisham,Lewisham,Middle Group,3,Middle Group,3,Most Favourable,5,Favourable,4
lincolnshire_county_council,Lincolnshire county council,Middle Group,3,Unfavourable,2,Middle Group,3,Middle Group,3
liverpool,Liverpool,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
luton,Luton,Unfavourable,2,Middle Group,3,Middle Group,3,Favourable,4
manchester,Manchester,Unfavourable,2,Middle Group,3,Middle Group,3,Middle Group,3
medway,Medway,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
merthyr_tydfil,Merthyr Tydfil,Unfavourable,2,Unfavourable,2,Middle Group,3,Middle Group,3
merton,Merton,Favourable,4,Middle Group,3,Favourable,4,Middle Group,3
middlesbrough,Middlesbrough,Least Favourable,1,Middle Group,3,Least Favourable,1,Middle Group,3
midlothian,Midlothian,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
milton_keynes,Milton Keynes,Middle Group,3,Favourable,4,Middle Group,3,Middle Group,3
monmouthshire_county_council,Monmouthshire county council,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
moray,Moray,Middle Group,3,Least Favourable,1,Unfavourable,2,Middle Group,3
na_h-eileanan_siar,Na h-Eileanan Siar,Middle Group,3,Least Favourable,1,Middle Group,3,Middle Group,3
neath_port_talbot,Neath Port Talbot,Middle Group,3,Unfavourable,2,Unfavourable,2,Middle Group,3
newcastle_upon_tyne,Newcastle upon Tyne,Middle Group,3,Middle Group,3,Middle Group,3,Unfavourable,2
newham,Newham,Unfavourable,2,Middle Group,3,Middle Group,3,Favourable,4
newport,Newport,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
north_ayrshire,North Ayrshire,Unfavourable,2,Unfavourable,2,Middle Group,3,Unfavourable,2
north_east_lincolnshire,North East Lincolnshire,Least Favourable,1,Middle Group,3,Middle Group,3,Unfavourable,2
north_lanarkshire,North Lanarkshire,Middle Group,3,Middle Group,3,Middle Group,3,Least Favourable,1
north_lincolnshire,North Lincolnshire,Unfavourable,2,Middle Group,3,Least Favourable,1,Middle Group,3
north_northamptonshire,North Northamptonshire,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
north_tyneside,North Tyneside,Middle Group,3,Middle Group,3,Middle Group,3,Unfavourable,2
north_yorkshire_county_council,North Yorkshire county council,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
northern_ireland,Northern Ireland,Middle Group,3,Middle Group,3,Middle Group,3,Least Favourable,1
northumberland_county_council,Northumberland county council,Middle Group,3,Middle Group,3,Unfavourable,2,Unfavourable,2
norwich_and_norfolk_county_council,Norwich and Norfolk county council,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
nottingham,Nottingham,Unfavourable,2,Middle Group,3,Middle Group,3,Middle Group,3
nottinghamshire_county_council,Nottinghamshire county council,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
oldham,Oldham,Least Favourable,1,Middle Group,3,Unfavourable,2,Middle Group,3
orkney_islands,Orkney Islands,Middle Group,3,Least Favourable,1,Middle Group,3,Middle Group,3
oxfordshire_county_council,Oxfordshire county council,Most Favourable,5,Favourable,4,Favourable,4,Middle Group,3
pembrokeshire_county_council,Pembrokeshire county council,Middle Group,3,Least Favourable,1,Middle Group,3,Middle Group,3
perth_and_kinross,Perth and Kinross,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
peterborough,Peterborough,Unfavourable,2,Middle Group,3,Middle Group,3,Middle Group,3
plymouth,Plymouth,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
portsmouth,Portsmouth,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
powys_county_council,Powys county council,Middle Group,3,Unfavourable,2,Middle Group,3,Middle Group,3
reading,Reading,Favourable,4,Favourable,4,Favourable,4,Middle Group,3
redbridge,Redbridge,Middle Group,3,Middle Group,3,Middle Group,3,Most Favourable,5
redcar_and_cleveland,Redcar and Cleveland,Unfavourable,2,Middle Group,3,Least Favourable,1,Middle Group,3
renfrewshire,Renfrewshire,Middle Group,3,Middle Group,3,Middle Group,3,Unfavourable,2
rhondda_cynon_taf,Rhondda Cynon Taf,Middle Group,3,Unfavourable,2,Middle Group,3,Middle Group,3
richmond_upon_thames,Richmond upon Thames,Most Favourable,5,Most Favourable,5,Middle Group,3,Most Favourable,5
rochdale,Rochdale,Unfavourable,2,Middle Group,3,Middle Group,3,Unfavourable,2
rotherham,Rotherham,Unfavourable,2,Middle Group,3,Middle Group,3,Middle Group,3
rutland_county_council,Rutland county council,Favourable,4,Middle Group,3,Middle Group,3,Middle Group,3
salford,Salford,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
sandwell,Sandwell,Least Favourable,1,Middle Group,3,Unfavourable,2,Middle Group,3
scottish_borders,Scottish Borders,Middle Group,3,Least Favourable,1,Middle Group,3,Least Favourable,1
sefton,Sefton,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
sheffield,Sheffield,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
shetland_islands,Shetland Islands,Middle Group,3,Least Favourable,1,Unfavourable,2,Middle Group,3
shropshire,Shropshire,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
slough,Slough,Middle Group,3,Favourable,4,Middle Group,3,Middle Group,3
solihull,Solihull,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
somerset_county_council,Somerset county council,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
south_ayrshire,South Ayrshire,Middle Group,3,Unfavourable,2,Middle Group,3,Middle Group,3
south_lanarkshire,South Lanarkshire,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
south_tyneside,South Tyneside,Middle Group,3,Middle Group,3,Middle Group,3,Least Favourable,1
southampton,Southampton,Middle Group,3,Favourable,4,Middle Group,3,Middle Group,3
southend-on-sea,Southend-on-Sea,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
southwark,Southwark,Middle Group,3,Middle Group,3,Most Favourable,5,Favourable,4
st_helens,St Helens,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
staffordshire_county_council,Staffordshire county council,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
stirling,Stirling,Favourable,4,Middle Group,3,Middle Group,3,Middle Group,3
stockport,Stockport,Favourable,4,Middle Group,3,Favourable,4,Middle Group,3
stockton-on-tees,Stockton-on-Tees,Middle Group,3,Middle Group,3,Least Favourable,1,Middle Group,3
stoke-on-trent,Stoke-on-Trent,Least Favourable,1,Middle Group,3,Middle Group,3,Middle Group,3
suffolk_county_council,Suffolk county council,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
sunderland,Sunderland,Unfavourable,2,Middle Group,3,Least Favourable,1,Least Favourable,1
surrey_county_council,Surrey county council,Most Favourable,5,Middle Group,3,Favourable,4,Most Favourable,5
sutton,Sutton,Favourable,4,Middle Group,3,Favourable,4,Middle Group,3
swansea,Swansea,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
swindon,Swindon,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
tameside,Tameside,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
telford_and_wrekin,Telford and Wrekin,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
thurrock,Thurrock,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
torbay,Torbay,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
torfaen,Torfaen,Unfavourable,2,Least Favourable,1,Middle Group,3,Middle Group,3
tower_hamlets,Tower Hamlets,Unfavourable,2,Middle Group,3,Most Favourable,5,Favourable,4
trafford,Trafford,Most Favourable,5,Middle Group,3,Favourable,4,Middle Group,3
vale_of_glamorgan,Vale of Glamorgan,Favourable,4,Middle Group,3,Middle Group,3,Middle Group,3
wakefield,Wakefield,Middle Group,3,Middle Group,3,Middle Group,3,Unfavourable,2
walsall,Walsall,Unfavourable,2,Middle Group,3,Middle Group,3,Middle Group,3
waltham_forest,Waltham Forest,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
wandsworth,Wandsworth,Most Favourable,5,Most Favourable,5,Most Favourable,5,Favourable,4
warrington,Warrington,Middle Group,3,Favourable,4,Middle Group,3,Middle Group,3
warwickshire_county_council,Warwickshire county council,Middle Group,3,Middle Group,3,Middle Group,3,Favourable,4
west_berkshire,West Berkshire,Favourable,4,Favourable,4,Favourable,4,Middle Group,3
west_dunbartonshire,West Dunbartonshire,Unfavourable,2,Middle Group,3,Middle Group,3,Middle Group,3
west_lothian,West Lothian,Middle Group,3,Middle Group,3,Unfavourable,2,Middle Group,3
west_northamptonshire,West Northamptonshire,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
west_sussex_county_council,West Sussex county council,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
westminster,Westminster,Middle Group,3,Most Favourable,5,Favourable,4,Middle Group,3
wigan,Wigan,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
wiltshire,Wiltshire,Favourable,4,Middle Group,3,Middle Group,3,Middle Group,3
windsor_and_maidenhead,Windsor and Maidenhead,Most Favourable,5,Favourable,4,Favourable,4,Middle Group,3
wirral,Wirral,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
wokingham,Wokingham,Most Favourable,5,Favourable,4,Middle Group,3,Middle Group,3
wolverhampton,Wolverhampton,Unfavourable,2,Middle Group,3,Middle Group,3,Middle Group,3
worcestershire_county_council,Worcestershire county council,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
wrexham,Wrexham,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
york,York,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
