"Region","2021 to 2024","","2018 to 2020",""
"Suffolk CC","-0.172","Middling","-0.759","Lower Middling"
"Sunderland","-1.618","Least Favourable","-1.429","Unfavourable"
"Surrey","2.075","Most Favourable","2.34","Most Favourable"
"Sutton","0.72","Upper Middling","0.127","Middling"
"Swansea","-0.287","Middling","0.296","Middling"
"Swindon","-0.9","Lower Middling","0.025","Middling"
"Tameside","-1.013","Unfavourable","-0.861","Lower Middling"
"Telford and Wrekin","-0.217","Middling","-0.387","Middling"
"Thurrock","0.095","Middling","0.153","Middling"
"Torbay","-0.52","Lower Middling","0.057","Middling"
"Torfaen","-0.549","Lower Middling","-0.871","Lower Middling"
"Tower Hamlets","1.335","Favourable","0.76","Upper Middling"
"Trafford","-0.104","Middling","-0.175","Middling"
"Vale of Glamorgan","-0.408","Middling","0.066","Middling"
"Wakefield","-0.461","Middling","-1.396","Unfavourable"
"Walsall","-0.709","Lower Middling","-0.474","Middling"
"Waltham Forest","1.103","Favourable","0.782","Upper Middling"
"Wandsworth","0.647","Upper Middling","1.405","Favourable"
"Warrington","0.333","Middling","0.312","Middling"
"Warwickshire CC","1.396","Favourable","0.84","Upper Middling"
"West Berkshire","0.489","Middling","1.116","Favourable"
"West Dunbartonshire","-0.649","Lower Middling","-0.938","Lower Middling"
"West Lothian","-0.114","Middling","-0.885","Lower Middling"
"West Northamptonshire","0.187","Middling","0.611","Upper Middling"
"West Sussex","0.418","Middling","0.824","Upper Middling"
"Westminster","0.191","Middling","1.096","Favourable"
"Wigan","-0.698","Lower Middling","-0.579","Lower Middling"
"Wiltshire","-0.331","Middling","0.494","Middling"
"Windsor and Maidenhead","1.243","Favourable","0.87","Upper Middling"
"Wirral","0.408","Middling","-1.067","Unfavourable"
"Wokingham","1.024","Favourable","1.055","Favourable"
"Wolverhampton","-0.328","Middling","-0.936","Lower Middling"
"Worcestershire CC","0.024","Middling","1.015","Favourable"
"Wrexham","-0.232","Middling","-0.214","Middling"
"York","-0.1","Middling","0.053","Middling"
