"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","group_number"
"ci3","Innovation and Growth","composite_index",,"Local Authority","Hartlepool","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.593,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Havering","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.695,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Herefordshire, County of","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.562,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Hertfordshire CC","time_period","2006 to 2011","zscore_category","Upper Middling",,,,,"2006 to 2011",0.843,,,,"z-score",,5
"ci3","Innovation and Growth","composite_index",,"Local Authority","Highland","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",-0.423,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Hillingdon","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",0.207,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Hounslow","time_period","2006 to 2011","zscore_category","Favourable",,,,,"2006 to 2011",1.04,,,,"z-score",,6
"ci3","Innovation and Growth","composite_index",,"Local Authority","Inverclyde","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.583,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Isle of Anglesey","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",-0.4,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Isle of Wight","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.71,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Islington","time_period","2006 to 2011","zscore_category","Most Favourable",,,,,"2006 to 2011",3.147,,,,"z-score",,7
"ci3","Innovation and Growth","composite_index",,"Local Authority","Kensington and Chelsea","time_period","2006 to 2011","zscore_category","Most Favourable",,,,,"2006 to 2011",1.954,,,,"z-score",,7
"ci3","Innovation and Growth","composite_index",,"Local Authority","Kent","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",-0.256,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Kingston upon Hull, City of","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.669,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Kingston upon Thames","time_period","2006 to 2011","zscore_category","Favourable",,,,,"2006 to 2011",1.318,,,,"z-score",,6
"ci3","Innovation and Growth","composite_index",,"Local Authority","Kirklees","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",-0.417,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Knowsley","time_period","2006 to 2011","zscore_category","Unfavourable",,,,,"2006 to 2011",-1.03,,,,"z-score",,2
"ci3","Innovation and Growth","composite_index",,"Local Authority","Lambeth","time_period","2006 to 2011","zscore_category","Favourable",,,,,"2006 to 2011",1.403,,,,"z-score",,6
"ci3","Innovation and Growth","composite_index",,"Local Authority","Lancashire","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",-0.295,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Leeds","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",0.112,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Leicester","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",-0.445,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Leicestershire CC","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",-0.126,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Lewisham","time_period","2006 to 2011","zscore_category","Upper Middling",,,,,"2006 to 2011",0.703,,,,"z-score",,5
"ci3","Innovation and Growth","composite_index",,"Local Authority","Lincolnshire CC","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.812,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Liverpool","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",-0.412,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Luton","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.692,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Manchester","time_period","2006 to 2011","zscore_category","Upper Middling",,,,,"2006 to 2011",0.976,,,,"z-score",,5
"ci3","Innovation and Growth","composite_index",,"Local Authority","Medway","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.652,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Merthyr Tydfil","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.975,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Merton","time_period","2006 to 2011","zscore_category","Favourable",,,,,"2006 to 2011",1.479,,,,"z-score",,6
"ci3","Innovation and Growth","composite_index",,"Local Authority","Middlesbrough","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.767,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Midlothian","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",-0.448,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Milton Keynes","time_period","2006 to 2011","zscore_category","Upper Middling",,,,,"2006 to 2011",0.647,,,,"z-score",,5
"ci3","Innovation and Growth","composite_index",,"Local Authority","Monmouthshire","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",0.472,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Moray","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.914,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Na h-Eileanan Siar","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.669,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Neath Port Talbot","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.988,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Newcastle upon Tyne","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",0.33,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Newham","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",-0.173,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Newport","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",-0.257,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","North Ayrshire mainland","time_period","2006 to 2011","zscore_category","Unfavourable",,,,,"2006 to 2011",-1.083,,,,"z-score",,2
"ci3","Innovation and Growth","composite_index",,"Local Authority","North East Lincolnshire","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.896,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","North Lanarkshire","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.867,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","North Lincolnshire","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.704,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","North Northamptonshire","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.573,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","North Somerset","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",0.052,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","North Tyneside","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",-0.009,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","North Yorkshire CC","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",-0.305,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Northern Ireland","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",-0.44,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Northumberland","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",-0.398,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Norwich and Norfolk","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.566,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Nottingham","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",-0.228,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Nottinghamshire","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",-0.14,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Oldham","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.839,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Orkney Islands","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",-0.313,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Oxfordshire CC","time_period","2006 to 2011","zscore_category","Favourable",,,,,"2006 to 2011",1.46,,,,"z-score",,6
"ci3","Innovation and Growth","composite_index",,"Local Authority","Pembrokeshire","time_period","2006 to 2011","zscore_category","Unfavourable",,,,,"2006 to 2011",-1.156,,,,"z-score",,2
"ci3","Innovation and Growth","composite_index",,"Local Authority","Perth and Kinross","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",-0.306,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Peterborough","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.51,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Plymouth","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",-0.275,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Portsmouth","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",-0.286,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Powys","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",-0.313,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Reading","time_period","2006 to 2011","zscore_category","Most Favourable",,,,,"2006 to 2011",1.617,,,,"z-score",,7
"ci3","Innovation and Growth","composite_index",,"Local Authority","Redbridge","time_period","2006 to 2011","zscore_category","Upper Middling",,,,,"2006 to 2011",0.719,,,,"z-score",,5
"ci3","Innovation and Growth","composite_index",,"Local Authority","Redcar and Cleveland","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.628,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Renfrewshire","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",-0.276,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Rhondda Cynon Taf","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.742,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Richmond upon Thames","time_period","2006 to 2011","zscore_category","Most Favourable",,,,,"2006 to 2011",1.962,,,,"z-score",,7
"ci3","Innovation and Growth","composite_index",,"Local Authority","Rochdale","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.82,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Rotherham","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.845,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Rutland","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",0.494,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Salford","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.583,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Sandwell","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.878,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Scottish Borders","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.684,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Sefton","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.531,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Sheffield","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",0.32,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Shetland Islands","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",-0.475,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Shropshire","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",-0.358,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Slough","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",0.265,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Solihull","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",0.011,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Somerset CC","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",-0.358,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","South Ayrshire","time_period","2006 to 2011","zscore_category","Lower Middling",,,,,"2006 to 2011",-0.613,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","South Gloucestershire","time_period","2006 to 2011","zscore_category","Middling",,,,,"2006 to 2011",0.158,,,,"z-score",,4
